,dim1,dim2,city,country,region,"GHGe intensity 2004","GHGe intensity 2009","CDD 23C","HDD 15.5C","commerce index","diesel price","gas price","GDP/capita","household size",population,"population density","urban ratio",water_bounded
0,1.3946953791,-7.978995571,Ahmadabad,India,ASIA,928,836,2120,26,46.1127777778,0.7,1.09,6247.85,4.8,4900,10560.34,29.2,0
1,-15.3820754182,5.9999835869,Amsterdam,Netherlands,OECD90,585,476,15,2060,60.06,1.45,1.68,41069.37,1.82,743,3392.69,80.2,1
2,-2.5615891673,-1.318550761,Athens,Greece,OECD90,884,817,460,794,43.25,1.41,1.23,22603.51,2.35,3400,8252.43,60.3,1
3,7.5759863048,4.9617274869,Austin,USA,OECD90,643,596,954,670,55.3111428571,0.78,0.56,49789.03,2.43,337,1092.07,80.7,0
4,0.6912867415,-11.0386553758,Bangalore,India,ASIA,928,836,705,2,35.78,0.7,1.09,1993,4.03,4130,7600,29.2,0
5,-3.0433116355,-0.093559291,Barcelona,Spain,OECD90,429,336,142,825,50.9,1.28,1.23,29076.72,2.5,1606,15756.64,76.7,1
6,-2.2889708611,10.4161191932,"Barnsley, Doncaster and Rotherham",England,OECD90,522,490,2,2550,55.3111428571,1.65,1.44,23817.54,2.3,767,559,79,0
7,-9.1112636523,6.6290100423,"Bath and North East Somerset, North Somerset and South Gloucestershire",England,OECD90,522,490,1,2229,55.3111428571,1.65,1.44,37014.79,2.43,632,255.6,79,0
8,-6.6438646989,14.8667709698,Bedfordshire CC,England,OECD90,522,490,7,2240,55.3111428571,1.65,1.44,29148.52,3.98,404,499,79,0
9,-4.8330879734,-7.6461270296,Beijing,China,ASIA,899,812,381,2450,42.52,1.01,0.99,9237.63,2.87,10717,8502.79,42.5,0
10,-13.2519535279,4.9384291698,Belfast,Ireland,OECD90,522,490,0,2355,55.3111428571,1.65,1.44,52835.84,2.36,268,2326.96,79,1
11,-4.8413590199,-5.7337670866,Belgrade,Serbia,REF,904,801,251,1969,42.7875,1.14,1.29,11352.88,2.8,1700,4722.22,54.4,0
12,-12.5641123877,4.4269186211,Berkshire,England,OECD90,522,490,8,2169,55.3111428571,1.65,1.44,53628.22,2.47,816,646.91,79,0
13,-2.9641273928,6.7880542715,Berlin,Germany,OECD90,596,570,88,2213,53.22,1.56,1.56,22114.13,1.8,3416,3829.95,73.4,0
14,-8.7931950164,10.5664698715,Birmingham,England,OECD90,522,490,5,2214,55.3111428571,1.65,1.44,31543.13,2.52,2600,1626.72,79,0
15,-6.0873099261,12.4208100546,Blackburn with Darwen,England,OECD90,522,490,2,2227,55.3111428571,1.65,1.44,25422.22,2.43,141,464.37,79,0
16,10.9632435803,3.3183654091,Boulder,USA,OECD90,643,596,247,2446,55.3111428571,0.78,0.56,63989.27,2.39,470,151,80.7,0
17,-12.6881182232,8.8557646414,Bournemouth,England,OECD90,522,490,2,1981,55.3111428571,1.65,1.44,34832.87,2.3187931035,299,2689.54,79,1
18,-3.3019153024,11.1672605503,Bradford,England,OECD90,522,490,0,2550,55.3111428571,1.65,1.44,26760.4,2.54,493,1290,79,0
19,-5.4005855944,-2.0958155775,Bratislava,Slovakia,REF,193,300,131,2285,42.7875,1.68,1.57,22059.21,2.4481818182,427,1161.64,55.6,0
20,-9.6468383994,3.9518558321,Bremen,Germany,OECD90,596,570,36,2390,55.3111428571,1.56,1.56,41827.31,1.86,548,1678.69,73.4,0
21,-7.7702452822,12.905011397,Bridgend and Neath Port Talbot,England,OECD90,522,490,0,1948,55.3111428571,1.65,1.44,23752.04,2.28,270,255.6,79,1
22,0.0796920016,3.4827942012,Brighton and Hove,England,OECD90,522,490,2833,1891,55.3111428571,1.65,1.44,33782.11,2.13,252,2872.97,79,1
23,-13.4634884078,6.6954044983,"Bristol, City of",England,OECD90,522,490,1,2229,55.3111428571,1.65,1.44,45714.4,2.41,411,3733.64,79,1
24,-14.644968918,6.8411515316,Brussels,Belgium,OECD90,275,241,31,2024,52.16,1.34,1.5,49144.55,2.22,1050,6506.38,97.3,0
25,-11.308141426,6.9315211456,Buckinghamshire CC,England,OECD90,522,490,17,1810,55.3111428571,1.65,1.44,39984.75,2.52,488,311.57,79,0
26,-5.1148198632,-5.4432350161,Bucharest,Romania,REF,664,618,291,2168,42.7875,1.22,1.11,19636.4,2.48,1900,6666.67,52.8,0
27,-6.609365891,-0.3874452744,Budapest,Hungary,REF,583,471,173,2219,44.52,1.38,1.27,25392.6,1.93,1700,3237.11,66.4,0
28,-3.3832735645,-13.0468988696,Buffalo City,USA,MAF,899,955,117,219,35.29,0.95,0.87,5490.44,2.33,703,304,59.3,1
29,-3.2469319055,9.7167428256,"Calderdale, Kirklees and Wakefield",England,OECD90,522,490,0,2550,55.3111428571,1.65,1.44,27871.57,2.3187931035,918,550,79,0
30,-8.5514306321,6.3403990671,Cambridgeshire CC,England,OECD90,522,490,9,2214,55.3111428571,1.65,1.44,35290.54,2.27,590,193.66,79,0
31,-2.5074350965,-13.5652595867,Cape Town,South Africa,MAF,899,955,131,461,35.29,0.95,0.87,12320.46,3.4,3069,1250.41,59.3,1
32,-10.7724163631,7.4704254085,Cardiff,England,OECD90,522,490,0,1948,55.3111428571,1.65,1.44,35777.18,2.3187931035,441,927.2,79,1
33,-5.6756745956,13.3730108349,Central Valleys (Wales),England,OECD90,522,490,4,2114,55.3111428571,1.65,1.44,20732.74,2.3187931035,289,255.6,79,0
34,-8.0640949094,-8.5000445238,Changchun,China,ASIA,899,812,158,4305,46.1127777778,1.01,0.99,6827.1,3.29,7393,360.05,42.5,0
